gloss,count
3.IND,2290
OBJ,2252
AOR,1861
1/2IND,1685
INF,1540
DEM.SG,1499
PAST,1001
PL,887
SUBORD,822
SBJNC,811
NMLZR,698
CAUS,648
FUT,593
PROG,544
1SG,537
NONE,530
PASS,518
FORM,515
INSTR,477
ITER,446
2SG,410
COND,378
AUX,347
RFLX,343
LOC,338
APPROX,314
APPL.3,284
ANTIPASS,239
HAB.PST,234
HAB,214
1PL,199
1SG.GEN,186
GEN,186
3PL.OBJ,185
IRR,173
INTER,146
VAL,134
CONT,128
POSTP,123
NEG,120
DEM.PL,112
APPL,102
AGT,102
MID,96
PST,95
APP.1/2,88
LNK,85
PART,82
PROHIB,82
DEM.SG.ACC,76
RECIP,74
IMPRF,73
IMPRTV,70
CENTR,68
1SG.SBJ,62
DIM,57
BEN,54
3.IMPRTV,53
3.POSS,52
1PL.GEN,52
1SG.OBJ,46
CNTR,45
2PL,44
IMPRTV.2PL,42
1PL.SBJ,41
TRSLOC,37
3PL,36
PL.OBJ,35
3SG,31
PRED,30
ADV,29
MAX,27
3SG.POSS,26
MED,26
HON,26
SUB,26
PRHB,24
PASS.PRT,23
DIST,23
PRES,17
VOC,16
INTSFR,15
SUM,15
POSS,14
WH,13
IMPRTV2,13
LIQ,12
2SG.OBJ,12
1SG.POSS,12
3SG.OBJ,11
2SG.POSS,10
2.POSS,9
DEM.SING.ACC,8
IMPER,8
INT,8
EXCLM,8
APPL.PL,7
GER,6
INTRJC,6
COLL,5
3PL.NOM,5
EMPATH,5
REL,5
QM,4
1POSS,4
PPLE,3
ZLA,3
ACT,3
2PL.GEN,2
2PL.OBJ,2
3SG.GEN,2
3PL.ACC,2
1PL.OBJ,2
20x20,2
2.INT,2
2SG.GEN,1
3PL.GEN,1
TRNSLOC,1
FINL,1
COM,1
MOV,1
DIST.LOC,1
COMP,1
I,1
