gloss,count
and,1829
no,684
already,622
one,571
exist,466
there,465
say,449
take,429
=be,423
go,371
know,369
eat,293
good,291
something,287
=evidential,275
speak,242
"if,as",233
do,231
see,228
here,218
for,214
bit,200
be,200
heat,189
how,185
likethis,179
much,178
have,166
come,166
=already,164
but,139
before,135
=more,132
or,131
all,127
little,126
that,123
father,120
man,118
who,112
want,109
sing,106
town,103
people,100
why,99
now,95
=only,92
can,91
down,90
=also,90
later,90
sir,89
origin,88
one.time,85
alot,84
give,81
bearound,80
=then,80
big,77
como,75
many,74
work,72
woman,72
arrive,71
two,69
mother,69
always,68
sight,66
very,64
yes,64
fir,63
three,61
water,60
then,59
put,59
dog,58
bring,58
where,57
tree,57
long.time,57
this,56
more,55
goout,55
sit,55
=still,52
tomorrow,51
donkey,50
everyone,50
love,50
corncob,50
die,49
wait,49
optative,48
suddenly,47
type,47
buy,45
what,44
throw,44
again,44
after,43
boy,43
fish,42
grow,41
some,41
on.the.go,40
lad,40
mount,39
subjunctiveadverb,38
fall,38
wife,38
alas,37
ox,37
reside,36
inform,36
sleep,35
sheep,35
enter,34
party,34
lookfor,33
yes.emphasized,33
pass,33
only,33
patio,33
son,33
hollow,33
=other,33
youngperson,33
help,32
until,32
make,32
quick,31
begin,31
money,31
cut,31
remain,30
ant,30
seems.like,30
differenttypes,28
follow,28
ask,28
they,28
throat,27
optativeadverb,27
dusk,27
hen,27
sad,26
year,26
round.thing,26
bus,26
select,25
bird,25
pot,25
arrivethere,25
dance,24
god,24
leave,24
grab,24
approach,23
smile,23
run,23
wood,23
cape,23
ascend,23
get.up,22
be.late,22
corn.cob,22
hear,22
finish,22
write,22
round.object,22
wash,22
flower,22
corn,22
time,22
return,21
school,21
same,21
appear,21
forget,21
continue,21
burn,21
subjunctive,21
wear,21
early,21
dress,21
rot,21
coyote,20
answer,20
table,20
feel,20
to,20
other,20
angel,20
child,20
harvest,20
pears,20
dawn,20
like,19
liquid,19
another,19
pain,19
sell,19
afternoon,18
still,18
red,18
young,18
buzzard,18
steal,17
accustom,17
stone,17
multitud,17
fire,17
contain,17
even,17
alone,16
name,16
create,16
plow,16
play,16
orange,16
suffer,16
four,16
road,16
walk,16
form,16
gentleman,16
types,16
get.ahead,15
get.tired,15
mom,15
live,15
brother,15
round,15
far,15
long,15
tortilla,15
everywhere,15
hurry,15
dream,15
young.lady,15
day,15
kill,14
cross,14
dry.up,14
listen,14
afraid,14
spread,14
auxiliar,14
when,14
well,14
horse,14
clean,14
get.in,14
son/daughter,14
relative,14
poor,13
ten,13
wisdom,13
outgoing,13
abajo,13
get,13
yesterday,13
pumpkin,13
soup,13
leg,12
call,12
mouse,12
frog,12
towards.ground,12
changelocation,12
united.states,12
no.purhepecha,12
white,12
life,12
break,12
sky,12
threads,12
carry.with.back,12
cold,12
long.thing,12
twenty,12
corn.beverage,12
lie.horizontal,12
take.away,12
exchange,12
immediately,12
sound,11
move,11
owner,11
visit,11
talk,11
think,11
lake,11
untie,11
meat,11
fill,11
pure,11
open,11
better,11
send,11
cry,11
moon,11
stand.up,11
marry,11
utilize,11
hit,11
get.drunk,11
house,11
scare,11
how.many,11
too,11
fast,11
put.oneself.shade,11
since,11
hungry,11
pay,11
place,11
=likethis,11
angry,11
bag,11
branch,11
remember,10
worry,10
hand,10
touch,10
swim,10
bread,10
cat,10
door,10
otherplace,10
almost,10
body,10
so,10
start,10
up,10
=you.all,10
=move,10
beautiful,10
how.much,10
edge,10
home,10
pig,10
each,10
dust,10
extract,10
goat,10
from,10
old,10
cover,10
trade,10
gully,10
priest,10
comfortable,9
